"i","j","value"
1,1,4.2920674721347254
2,1,4.2968263166398506
3,1,4.3015851611449749
4,1,4.3063440056501001
5,1,4.3111028501552244
6,1,4.3158616946603496
7,1,4.3206205391654748
8,1,4.3253793836706
9,1,4.3301382281757252
10,1,4.3348970726808496
11,1,4.3396559171859739
12,1,4.3444147616910991
13,1,4.3491736061962243
14,1,4.3539324507013495
15,1,4.3586912952064747
16,1,4.363450139711599
17,1,4.3682089842167242
18,1,4.3729678287218485
19,1,4.3777266732269737
20,1,4.3824855177320989
21,1,4.3872443622372241
22,1,4.3920032067423485
23,1,4.3967620512474737
24,1,4.401520895752598
25,1,4.4062797402577232
26,1,4.4110385847628484
27,1,4.4157974292679736
28,1,4.4205562737730979
29,1,4.4253151182782231
30,1,4.4300739627833483
31,1,4.4348328072884726
32,1,4.4395916517935978
33,1,4.444350496298723
34,1,4.4491093408038473
35,1,4.4538681853089725
36,1,4.4586270298140978
37,1,4.4633858743192221
38,1,4.4681447188243473
39,1,4.4729035633294725
40,1,4.4776624078345968
41,1,4.482421252339722
42,1,4.4871800968448472
43,1,4.4919389413499724
44,1,4.4966977858550967
45,1,4.5014566303602219
46,1,4.5062154748653471
47,1,4.5109743193704723
48,1,4.5157331638755958
49,1,4.520492008380721
50,1,4.5252508528858462
51,1,4.5300096973909714
52,1,4.5347685418960957
53,1,4.5395273864012209
54,1,4.5442862309063461
55,1,4.5490450754114713
56,1,4.5538039199165956
57,1,4.5585627644217208
58,1,4.563321608926846
59,1,4.5680804534319712
60,1,4.5728392979370964
61,1,4.5775981424422199
62,1,4.5823569869473451
63,1,4.5871158314524703
64,1,4.5918746759575946
65,1,4.5966335204627198
66,1,4.601392364967845
67,1,4.6061512094729702
68,1,4.6109100539780954
69,1,4.6156688984832197
70,1,4.6204277429883449
71,1,4.6251865874934701
72,1,4.6299454319985953
73,1,4.6347042765037196
74,1,4.6394631210088439
75,1,4.6442219655139692
76,1,4.6489808100190944
77,1,4.6537396545242187
78,1,4.6584984990293439
79,1,4.6632573435344691
80,1,4.6680161880395943
81,1,4.6727750325447186
82,1,4.6775338770498438
83,1,4.682292721554969
84,1,4.6870515660600942
85,1,4.6918104105652185
86,1,4.6965692550703437
87,1,4.701328099575468
88,1,4.7060869440805932
89,1,4.7108457885857176
90,1,4.7156046330908428
91,1,4.720363477595968
92,1,4.7251223221010932
93,1,4.7298811666062175
94,1,4.7346400111113427
95,1,4.7393988556164679
